WELL,DATE,WELLMODEL,SGAS,CONIPOS,SWAT,PRESSURE,CONBPRES,CONIDX,DEPTH,CONKPOS,DRAWDOWN,CONJPOS
R_A2,2018-03-01,STANDARD,0.0,22,0.06287878006696701,298.7166442871094,298.7166442871094,4,1646.4676513671875,4,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.06484445929527283,298.8377990722656,298.8377990722656,5,1648.2757568359375,5,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.3126589059829712,298.9510192871094,298.9510192871094,6,1650.083984375,6,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.8711362481117249,299.0860900878906,299.0860900878906,7,1651.89208984375,7,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.8598988652229309,299.2141418457031,299.2141418457031,8,1653.7001953125,8,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.8890233635902405,299.7745666503906,299.7745666503906,9,1655.50830078125,9,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.8943240642547607,300.205810546875,300.205810546875,10,1657.31640625,10,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.06885528564453125,299.6773681640625,299.6773681640625,11,1659.24462890625,11,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.42520737648010254,300.0589294433594,300.0589294433594,12,1663.3411865234375,13,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.4590965509414673,300.1964111328125,300.1964111328125,13,1665.3895263671875,14,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.625173032283783,300.3351745605469,300.3351745605469,14,1667.437744140625,15,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.9234354496002197,300.4710693359375,300.4710693359375,15,1669.486083984375,16,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.8789244890213013,300.6081237792969,300.6081237792969,16,1671.5343017578125,17,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.9322025179862976,300.7340393066406,300.7340393066406,17,1673.4150390625,18,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.9833554029464722,300.8046875,300.8046875,18,1674.4688720703125,19,0,30
R_A2,2018-03-01,STANDARD,-2.0514843638549983e-15,22,1.0,301.0772705078125,301.0772705078125,19,1675.5701904296875,28,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.7182325124740601,300.9450988769531,300.9450988769531,20,1677.3780517578125,29,0,30
R_A2,2018-03-01,STANDARD,0.0,22,0.6511039137840271,300.7618408203125,300.7618408203125,21,1678.4228515625,29,0,29
R_A2,2018-03-01,STANDARD,0.0,22,0.5030320286750793,300.8849792480469,300.8849792480469,22,1680.2115478515625,30,0,29
R_A2,2018-03-01,STANDARD,-1.1950301859187107e-09,22,1.0,301.3712463378906,301.3712463378906,23,1682.0003662109375,31,0,29
R_A2,2018-03-01,STANDARD,-1.4270186323838557e-13,22,1.0,302.1806640625,302.1806640625,24,1683.7891845703125,32,0,29
R_A5,2018-04-28,STANDARD,-5.581005796395644e-11,31,1.0,278.0120849609375,278.0120849609375,1,1683.592529296875,1,0,20
R_A5,2018-04-28,STANDARD,-5.3855569309702034e-11,31,1.0,278.2198486328125,278.2198486328125,2,1685.787353515625,2,0,20
R_A5,2018-04-28,STANDARD,-5.838286798454106e-11,31,1.0,278.42767333984375,278.42767333984375,3,1687.982177734375,3,0,20
R_A5,2018-04-28,STANDARD,-6.735088875498008e-11,31,1.0,278.6355895996094,278.6355895996094,4,1690.1768798828125,4,0,20
R_A5,2018-04-28,STANDARD,-5.685802523247574e-11,31,1.0,278.8434753417969,278.8434753417969,5,1692.3717041015625,5,0,20
R_A5,2018-04-28,STANDARD,-4.9129814799764304e-11,31,1.0,279.05145263671875,279.05145263671875,6,1694.5665283203125,6,0,20
R_A5,2018-04-28,STANDARD,-7.662079304360248e-12,31,1.0,279.61590576171875,279.61590576171875,7,1696.7613525390625,7,0,20
R_A5,2018-04-28,STANDARD,-3.4826547028188326e-12,31,1.0,280.6380615234375,280.6380615234375,8,1698.9560546875,8,0,20
R_A5,2018-04-28,STANDARD,-8.431151610199805e-11,31,1.0,277.4779357910156,277.4779357910156,9,1702.9801025390625,11,0,21
R_A5,2018-04-28,STANDARD,-2.1472958133816888e-10,31,1.0,277.6634826660156,277.6634826660156,10,1704.9324951171875,12,0,21
R_A5,2018-04-28,STANDARD,-9.8550681504328e-12,31,1.0,277.86529541015625,277.86529541015625,11,1706.8848876953125,13,0,21
R_A5,2018-04-28,STANDARD,-1.2208751370978987e-11,31,1.0,278.0590515136719,278.0590515136719,12,1708.83740234375,14,0,21
R_A5,2018-04-28,STANDARD,-3.0590933432217415e-12,31,1.0,278.267333984375,278.267333984375,13,1710.789794921875,15,0,21
R_A5,2018-04-28,STANDARD,-2.709745947591935e-13,31,1.0,278.88897705078125,278.88897705078125,14,1712.7421875,16,0,21
R_A5,2018-04-28,STANDARD,-1.3089891312805663e-13,31,1.0,279.6722106933594,279.6722106933594,15,1714.6947021484375,17,0,21
R_A5,2018-04-28,STANDARD,-4.921603286044997e-14,31,1.0,280.2630615234375,280.2630615234375,16,1716.14208984375,18,0,21
R_A5,2018-04-28,STANDARD,0.0,31,1.0,280.48870849609375,280.48870849609375,17,1716.818115234375,19,0,21
R_A5,2018-04-28,STANDARD,-5.37324134838868e-12,31,1.0,280.57537841796875,280.57537841796875,18,1718.10107421875,28,0,21
R_A5,2018-04-28,STANDARD,-4.055124291912904e-12,31,1.0,280.83123779296875,280.83123779296875,19,1720.2572021484375,29,0,21
R_A5,2018-04-28,STANDARD,-3.8937605852280843e-13,31,1.0,281.53118896484375,281.53118896484375,20,1722.413330078125,30,0,21
R_A5,2018-04-28,STANDARD,-1.9523019623754584e-18,31,1.0,293.47344970703125,293.47344970703125,21,1724.5693359375,31,0,21
R_A5,2018-04-28,STANDARD,-8.259760307859973e-21,31,1.0,302.3045959472656,302.3045959472656,22,1726.7255859375,32,0,21
R_A3,2018-07-03,STANDARD,0.0,28,0.09430555999279022,275.87896728515625,275.87896728515625,1,1605.1629638671875,1,0,41
R_A3,2018-07-03,STANDARD,0.0,28,0.0916418805718422,276.0119934082031,276.0119934082031,2,1607.15966796875,2,0,41
R_A3,2018-07-03,STANDARD,0.0,28,0.11975286155939102,276.1450500488281,276.1450500488281,3,1609.156494140625,3,0,41
R_A3,2018-07-03,STANDARD,0.0,28,0.3798334002494812,276.27911376953125,276.27911376953125,4,1611.1533203125,4,0,41
R_A3,2018-07-03,STANDARD,0.0,28,0.7870839834213257,277.0485534667969,277.0485534667969,5,1613.1500244140625,5,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.7908462285995483,276.9110412597656,276.9110412597656,6,1608.8809814453125,5,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.6495741605758667,277.0478210449219,277.0478210449219,7,1610.8807373046875,6,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.19527553021907806,277.2243347167969,277.2243347167969,8,1612.88037109375,7,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.19722840189933777,277.3577575683594,277.3577575683594,9,1614.880126953125,8,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.7919802665710449,277.5886535644531,277.5886535644531,10,1616.8798828125,9,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.7954896688461304,278.4676818847656,278.4676818847656,11,1618.8795166015625,10,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.04691881313920021,287.7279357910156,287.7279357910156,12,1621.0477294921875,11,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.0524822436273098,287.8841247558594,287.8841247558594,13,1623.3843994140625,12,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.3724987506866455,288.0404052734375,288.0404052734375,14,1625.72119140625,13,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.36267298460006714,288.19586181640625,288.19586181640625,15,1628.057861328125,14,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.6024378538131714,288.341064453125,288.341064453125,16,1630.39453125,15,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.7737839818000793,288.4604187011719,288.4604187011719,17,1632.4073486328125,16,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.6600732207298279,287.8608703613281,287.8608703613281,18,1635.0694580078125,28,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.04546001926064491,288.0087585449219,288.0087585449219,19,1638.704345703125,29,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.08554206788539886,288.25152587890625,288.25152587890625,20,1642.33935546875,30,0,41
R_A3,2018-07-03,STANDARD,6.3830806959486175e-12,29,1.0,290.45440673828125,290.45440673828125,21,1645.9742431640625,31,0,41
R_A3,2018-07-03,STANDARD,0.0,29,0.09906125068664551,288.5810852050781,288.5810852050781,22,1649.6092529296875,32,0,41
R_A4,2018-09-12,STANDARD,0.0,30,0.04897886887192726,278.65460205078125,278.65460205078125,1,1632.2373046875,1,0,52
R_A4,2018-09-12,STANDARD,0.0,31,0.048095960170030594,278.479736328125,278.479736328125,2,1628.636962890625,1,0,52
R_A4,2018-09-12,STANDARD,0.0,31,0.04991340637207031,278.6144104003906,278.6144104003906,3,1630.65673828125,2,0,52
R_A4,2018-09-12,STANDARD,0.0,31,0.05143313109874725,278.7491149902344,278.7491149902344,4,1632.6766357421875,3,0,52
R_A4,2018-09-12,STANDARD,0.0,32,0.0533364899456501,278.8096008300781,278.8096008300781,5,1632.6448974609375,3,0,52
R_A4,2018-09-12,STANDARD,0.0,32,0.05728427693247795,278.93206787109375,278.93206787109375,6,1634.4808349609375,4,0,52
R_A4,2018-09-12,STANDARD,0.0,32,0.05741376429796219,279.01104736328125,279.01104736328125,7,1637.3272705078125,4,0,51
R_A4,2018-09-12,STANDARD,0.0,32,0.05630718544125557,278.8908996582031,278.8908996582031,8,1635.5269775390625,3,0,51
R_A4,2018-09-12,STANDARD,0.0,33,0.05771492421627045,279.05096435546875,279.05096435546875,9,1637.3460693359375,3,0,51
R_A4,2018-09-12,STANDARD,0.0,33,0.05875010043382645,279.2103576660156,279.2103576660156,10,1642.229736328125,3,0,50
R_A4,2018-09-12,STANDARD,0.0,34,0.056613460183143616,279.10589599609375,279.10589599609375,11,1639.3421630859375,3,0,50
R_A4,2018-09-12,STANDARD,0.0,35,0.07166563719511032,279.3336486816406,279.3336486816406,12,1639.938232421875,3,0,50
R_A4,2018-09-12,STANDARD,0.0,35,0.659956157207489,279.2788391113281,279.2788391113281,13,1641.955322265625,32,0,49
R_A4,2018-09-12,STANDARD,3.146456836397582e-12,35,1.0,287.00128173828125,287.00128173828125,14,1635.9256591796875,31,0,49
R_A4,2018-09-12,STANDARD,0.0,36,0.6495580673217773,279.622802734375,279.622802734375,15,1641.1407470703125,31,0,49
R_A4,2018-09-12,STANDARD,0.0,36,0.7013368010520935,279.44769287109375,279.44769287109375,16,1641.5098876953125,31,0,48
R_A4,2018-09-12,STANDARD,0.0,37,0.27309614419937134,280.1971740722656,280.1971740722656,17,1647.34521484375,31,0,48
R_A4,2018-09-12,STANDARD,0.0,38,0.6522179841995239,280.8246765136719,280.8246765136719,18,1655.357421875,31,0,48
R_A4,2018-09-12,STANDARD,0.0,38,0.18229813873767853,280.4472961425781,280.4472961425781,19,1649.6658935546875,30,0,48
R_A4,2018-09-12,STANDARD,0.0,38,0.12400154024362564,281.05462646484375,281.05462646484375,20,1660.218994140625,30,0,47
R_A6,2018-11-07,STANDARD,-1.5080079925674367e-14,17,1.0,274.353271484375,274.353271484375,1,1694.87158203125,1,0,42
R_A6,2018-11-07,STANDARD,-6.76482929499096e-17,17,1.0,274.49609375,274.49609375,2,1696.421142578125,2,0,42
R_A6,2018-11-07,STANDARD,-8.421352439345984e-17,17,1.0,274.6324462890625,274.6324462890625,3,1697.970703125,3,0,42
R_A6,2018-11-07,STANDARD,-9.557392366458961e-17,17,1.0,274.76019287109375,274.76019287109375,4,1699.520263671875,4,0,42
R_A6,2018-11-07,STANDARD,-1.2988092193287121e-16,17,1.0,274.8847961425781,274.8847961425781,5,1701.06982421875,5,0,42
R_A6,2018-11-07,STANDARD,-2.2020262590210843e-15,17,1.0,275.01806640625,275.01806640625,6,1702.6192626953125,6,0,42
R_A6,2018-11-07,STANDARD,-1.440990915187266e-14,17,1.0,274.85516357421875,274.85516357421875,7,1704.1689453125,7,0,42
R_A6,2018-11-07,STANDARD,-1.0373457497994069e-14,17,1.0,274.9998474121094,274.9998474121094,8,1705.718505859375,8,0,42
R_A6,2018-11-07,STANDARD,-6.565989766460891e-16,17,1.0,275.4461364746094,275.4461364746094,9,1707.26806640625,9,0,42
R_A6,2018-11-07,STANDARD,5.208471237720105e-16,17,1.0,275.5866394042969,275.5866394042969,10,1708.8175048828125,10,0,42
R_A6,2018-11-07,STANDARD,1.6176566752790222e-09,17,1.0,280.03167724609375,280.03167724609375,11,1710.713134765625,11,0,42
R_A6,2018-11-07,STANDARD,5.212116294117664e-10,17,1.0,280.2437744140625,280.2437744140625,12,1712.95458984375,12,0,42
R_A6,2018-11-07,STANDARD,6.118235779117853e-11,17,1.0,280.467529296875,280.467529296875,13,1715.196044921875,13,0,42
R_A6,2018-11-07,STANDARD,3.641924956054865e-11,17,1.0,280.6775207519531,280.6775207519531,14,1717.4375,14,0,42
R_A6,2018-11-07,STANDARD,1.5573553731329515e-12,17,1.0,280.8807067871094,280.8807067871094,15,1719.6788330078125,15,0,42
R_A6,2018-11-07,STANDARD,1.0348431096415811e-12,17,1.0,281.1669006347656,281.1669006347656,16,1721.9202880859375,16,0,42
R_A6,2018-11-07,STANDARD,9.687530725527305e-13,17,1.0,281.2795715332031,281.2795715332031,17,1724.1617431640625,17,0,42
R_A6,2018-11-07,STANDARD,3.6175530886833895e-12,17,1.0,281.4066467285156,281.4066467285156,18,1725.922607421875,18,0,42
R_A6,2018-11-07,STANDARD,6.551823528155865e-10,17,1.0,281.3579406738281,281.3579406738281,19,1727.4249267578125,28,0,42
R_A6,2018-11-07,STANDARD,5.121468249491556e-10,17,1.0,281.507568359375,281.507568359375,20,1729.1492919921875,29,0,42
R_A6,2018-11-07,STANDARD,3.844757290316636e-10,17,1.0,281.6708679199219,281.6708679199219,21,1730.8736572265625,30,0,42
R_A6,2018-11-07,STANDARD,1.9470621295814006e-11,17,1.0,282.13507080078125,282.13507080078125,22,1732.5980224609375,31,0,42
R_A6,2018-11-07,STANDARD,1.9690996055921062e-10,17,1.0,281.9183044433594,281.9183044433594,23,1734.322265625,32,0,42
