CONKPOS,DATE,CONIDX,DRAWDOWN,CONJPOS,SGAS,WELL,SWAT,DEPTH,PRESSURE,CONBPRES,WELLMODEL,CONIPOS
1,2018-01-01,1,0,30,0.0,R_A2,0.05337970331311226,1641.5928955078125,300.8366394042969,300.8366394042969,STANDARD,22
2,2018-01-01,2,0,30,0.0,R_A2,0.05509505420923233,1643.3372802734375,300.95361328125,300.95361328125,STANDARD,22
3,2018-01-01,3,0,30,0.0,R_A2,0.05790622532367706,1645.08154296875,301.070556640625,301.070556640625,STANDARD,22
4,2018-01-01,4,0,30,0.0,R_A2,0.063801608979702,1646.8258056640625,301.1875305175781,301.1875305175781,STANDARD,22
5,2018-01-01,5,0,30,0.0,R_A2,0.06686896085739136,1648.5701904296875,301.30450439453125,301.30450439453125,STANDARD,22
6,2018-01-01,6,0,30,0.0,R_A2,0.3061203062534332,1650.314453125,301.4215087890625,301.4215087890625,STANDARD,22
7,2018-01-01,7,0,30,0.0,R_A2,0.8742755055427551,1652.0587158203125,301.5384826660156,301.5384826660156,STANDARD,22
8,2018-01-01,8,0,30,0.0,R_A2,0.6481541991233826,1653.802978515625,301.65545654296875,301.65545654296875,STANDARD,22
9,2018-01-01,9,0,30,0.0,R_A2,0.2485610842704773,1655.54736328125,301.7724609375,301.7724609375,STANDARD,22
10,2018-01-01,10,0,30,0.0,R_A2,0.6481541991233826,1657.2916259765625,301.8894348144531,301.8894348144531,STANDARD,22
11,2018-01-01,11,0,30,0.0,R_A2,0.0681101456284523,1659.1781005859375,302.0159912109375,302.0159912109375,STANDARD,22
12,2018-01-01,12,0,30,0.0,R_A2,0.07305240631103516,1661.2069091796875,302.1520690917969,302.1520690917969,STANDARD,22
13,2018-01-01,13,0,30,0.0,R_A2,0.42641565203666687,1663.2357177734375,302.28814697265625,302.28814697265625,STANDARD,22
14,2018-01-01,14,0,30,0.0,R_A2,0.47300708293914795,1665.2645263671875,302.42425537109375,302.42425537109375,STANDARD,22
15,2018-01-01,15,0,30,0.0,R_A2,0.9039652347564697,1667.2933349609375,302.5603332519531,302.5603332519531,STANDARD,22
16,2018-01-01,16,0,30,0.0,R_A2,0.9301453232765198,1669.3221435546875,302.6964416503906,302.6964416503906,STANDARD,22
16,2018-01-01,17,0,29,0.0,R_A2,0.9166566729545593,1671.6444091796875,302.85223388671875,302.85223388671875,STANDARD,22
17,2018-01-01,18,0,29,0.0,R_A2,0.8968912363052368,1673.713134765625,302.99102783203125,302.99102783203125,STANDARD,22
18,2018-01-01,19,0,29,0.0,R_A2,0.96993488073349,1675.642822265625,303.1204833984375,303.1204833984375,STANDARD,22
25,2018-01-01,20,0,29,0.0,R_A2,0.6481541991233826,1677.4742431640625,303.2433776855469,303.2433776855469,STANDARD,22
26,2018-01-01,21,0,29,0.0,R_A2,1.0,1679.24267578125,303.3620300292969,303.3620300292969,STANDARD,22
27,2018-01-01,22,0,29,0.0,R_A2,1.0,1681.0111083984375,303.4806823730469,303.4806823730469,STANDARD,22
28,2018-01-01,23,0,29,0.0,R_A2,1.0,1682.779541015625,303.93695068359375,303.93695068359375,STANDARD,22
29,2018-01-01,24,0,29,0.0,R_A2,1.0,1684.548095703125,304.1045227050781,304.1045227050781,STANDARD,22
1,2018-01-01,1,0,41,0.0,R_A3,0.32562029361724854,1609.5869140625,298.6910400390625,298.6910400390625,STANDARD,28
2,2018-01-01,2,0,41,0.0,R_A3,0.1934591829776764,1611.57861328125,298.82452392578125,298.82452392578125,STANDARD,28
3,2018-01-01,3,0,41,0.0,R_A3,0.11823459714651108,1613.5704345703125,298.9580383300781,298.9580383300781,STANDARD,28
3,2018-01-01,4,0,41,0.0,R_A3,0.164066880941391,1603.7862548828125,298.30230712890625,298.30230712890625,STANDARD,29
4,2018-01-01,5,0,41,0.0,R_A3,0.13266843557357788,1605.862060546875,298.44140625,298.44140625,STANDARD,29
5,2018-01-01,6,0,41,0.0,R_A3,0.8042869567871094,1607.937744140625,298.58050537109375,298.58050537109375,STANDARD,29
6,2018-01-01,7,0,41,0.0,R_A3,0.6481541991233826,1610.0135498046875,298.7196350097656,298.7196350097656,STANDARD,29
7,2018-01-01,8,0,41,0.0,R_A3,0.19626516103744507,1612.08935546875,298.8587646484375,298.8587646484375,STANDARD,29
8,2018-01-01,9,0,41,0.0,R_A3,0.19504348933696747,1614.1650390625,298.99786376953125,298.99786376953125,STANDARD,29
9,2018-01-01,10,0,41,0.0,R_A3,0.7930274605751038,1616.2408447265625,299.1369934082031,299.1369934082031,STANDARD,29
10,2018-01-01,11,0,41,0.0,R_A3,0.7962934374809265,1618.316650390625,299.2761535644531,299.2761535644531,STANDARD,29
11,2018-01-01,12,0,41,0.0,R_A3,0.044299207627773285,1620.4659423828125,299.42022705078125,299.42022705078125,STANDARD,29
12,2018-01-01,13,0,41,0.0,R_A3,0.052189115434885025,1622.6888427734375,299.5692138671875,299.5692138671875,STANDARD,29
13,2018-01-01,14,0,41,0.0,R_A3,0.35821348428726196,1624.9117431640625,299.7182312011719,299.7182312011719,STANDARD,29
14,2018-01-01,15,0,41,0.0,R_A3,0.18503575026988983,1627.1346435546875,299.86724853515625,299.86724853515625,STANDARD,29
15,2018-01-01,16,0,41,0.0,R_A3,0.5054770708084106,1629.3575439453125,300.0162658691406,300.0162658691406,STANDARD,29
16,2018-01-01,17,0,41,0.0,R_A3,0.7998271584510803,1631.3599853515625,300.1505126953125,300.1505126953125,STANDARD,29
25,2018-01-01,18,0,41,0.0,R_A3,0.3522576093673706,1634.177734375,300.3394470214844,300.3394470214844,STANDARD,29
26,2018-01-01,19,0,41,0.0,R_A3,0.04128582775592804,1637.7664794921875,300.5800476074219,300.5800476074219,STANDARD,29
27,2018-01-01,20,0,41,0.0,R_A3,0.045750267803668976,1641.3551025390625,300.8206787109375,300.8206787109375,STANDARD,29
28,2018-01-01,21,0,41,0.0,R_A3,0.2298753708600998,1644.94384765625,301.06134033203125,301.06134033203125,STANDARD,29
29,2018-01-01,22,0,41,0.0,R_A3,0.059599801898002625,1648.532470703125,301.302001953125,301.302001953125,STANDARD,29
1,2018-01-01,1,0,52,0.0,R_A4,0.04801381006836891,1631.862548828125,300.1842041015625,300.1842041015625,STANDARD,30
1,2018-01-01,2,0,52,0.0,R_A4,0.20132248103618622,1626.741455078125,299.84088134765625,299.84088134765625,STANDARD,31
2,2018-01-01,3,0,52,0.0,R_A4,0.2297242432832718,1628.813232421875,299.97979736328125,299.97979736328125,STANDARD,31
3,2018-01-01,4,0,52,0.0,R_A4,0.13223350048065186,1630.8851318359375,300.1186828613281,300.1186828613281,STANDARD,31
4,2018-01-01,5,0,52,0.0,R_A4,0.05354511737823486,1632.95703125,300.2575988769531,300.2575988769531,STANDARD,31
4,2018-01-01,6,0,52,0.0,R_A4,0.05418294668197632,1631.706787109375,300.17376708984375,300.17376708984375,STANDARD,32
5,2018-01-01,7,0,52,0.0,R_A4,0.056014273315668106,1633.5867919921875,300.2998046875,300.2998046875,STANDARD,32
5,2018-01-01,8,0,51,0.0,R_A4,0.2065822333097458,1637.2178955078125,300.54327392578125,300.54327392578125,STANDARD,32
4,2018-01-01,9,0,51,0.0,R_A4,0.05584469065070152,1635.3709716796875,300.41943359375,300.41943359375,STANDARD,32
4,2018-01-01,10,0,51,0.0,R_A4,0.055966973304748535,1636.188232421875,300.4742431640625,300.4742431640625,STANDARD,33
5,2018-01-01,11,0,51,0.0,R_A4,0.09863349795341492,1638.0623779296875,300.59991455078125,300.59991455078125,STANDARD,33
5,2018-01-01,12,0,50,0.0,R_A4,0.0614820271730423,1643.686767578125,300.97705078125,300.97705078125,STANDARD,33
5,2018-01-01,13,0,50,0.0,R_A4,0.058904435485601425,1641.97021484375,300.8619384765625,300.8619384765625,STANDARD,34
4,2018-01-01,14,0,50,0.0,R_A4,0.06004045158624649,1640.0849609375,300.7355041503906,300.7355041503906,STANDARD,34
4,2018-01-01,15,0,50,0.0,R_A4,0.058701470494270325,1640.1138916015625,300.7374572753906,300.7374572753906,STANDARD,35
3,2018-01-01,16,0,50,0.0,R_A4,0.22261419892311096,1638.2786865234375,300.6144104003906,300.6144104003906,STANDARD,35
3,2018-01-01,17,0,49,0.0,R_A4,0.2310992181301117,1642.8359375,300.91998291015625,300.91998291015625,STANDARD,35
28,2018-01-01,18,0,49,0.0,R_A4,0.6481541991233826,1643.055908203125,300.9347229003906,300.9347229003906,STANDARD,36
28,2018-01-01,19,0,48,0.0,R_A4,0.12542970478534698,1643.053466796875,300.9345703125,300.9345703125,STANDARD,36
28,2018-01-01,20,0,48,0.0,R_A4,1.0,1648.143310546875,301.27587890625,301.27587890625,STANDARD,37
28,2018-01-01,21,0,48,0.0,R_A4,0.6481541991233826,1652.50390625,301.5683288574219,301.5683288574219,STANDARD,38
28,2018-01-01,22,0,47,0.0,R_A4,0.8357826471328735,1660.609130859375,302.1119689941406,302.1119689941406,STANDARD,38
1,2018-01-01,1,0,20,0.0,R_A5,1.0,1685.661376953125,303.90423583984375,303.90423583984375,STANDARD,31
2,2018-01-01,2,0,20,0.0,R_A5,1.0,1687.783203125,304.1053161621094,304.1053161621094,STANDARD,31
3,2018-01-01,3,0,20,0.0,R_A5,1.0,1689.9051513671875,304.306396484375,304.306396484375,STANDARD,31
4,2018-01-01,4,0,20,0.0,R_A5,1.0,1692.027099609375,304.5074768066406,304.5074768066406,STANDARD,31
5,2018-01-01,5,0,20,0.0,R_A5,1.0,1694.149169921875,304.7085876464844,304.7085876464844,STANDARD,31
6,2018-01-01,6,0,20,0.0,R_A5,1.0,1696.2711181640625,304.90966796875,304.90966796875,STANDARD,31
7,2018-01-01,7,0,20,0.0,R_A5,1.0,1698.39306640625,305.4165344238281,305.4165344238281,STANDARD,31
8,2018-01-01,8,0,20,0.0,R_A5,1.0,1700.5150146484375,305.6176452636719,305.6176452636719,STANDARD,31
9,2018-01-01,9,0,21,0.0,R_A5,1.0,1696.234619140625,305.2120056152344,305.2120056152344,STANDARD,31
11,2018-01-01,10,0,21,0.0,R_A5,1.0,1700.7247314453125,305.33184814453125,305.33184814453125,STANDARD,31
12,2018-01-01,11,0,21,0.0,R_A5,1.0,1702.721923828125,305.5211181640625,305.5211181640625,STANDARD,31
13,2018-01-01,12,0,21,0.0,R_A5,1.0,1704.7191162109375,305.7223815917969,305.7223815917969,STANDARD,31
14,2018-01-01,13,0,21,0.0,R_A5,1.0,1706.71630859375,305.9116516113281,305.9116516113281,STANDARD,31
15,2018-01-01,14,0,21,0.0,R_A5,1.0,1708.7135009765625,306.1009216308594,306.1009216308594,STANDARD,31
16,2018-01-01,15,0,21,0.0,R_A5,1.0,1710.710693359375,306.4352111816406,306.4352111816406,STANDARD,31
17,2018-01-01,16,0,21,0.0,R_A5,1.0,1712.7080078125,306.6244812011719,306.6244812011719,STANDARD,31
18,2018-01-01,17,0,21,0.0,R_A5,1.0,1714.07568359375,306.7541198730469,306.7541198730469,STANDARD,31
19,2018-01-01,18,0,21,0.0,R_A5,1.0,1714.6009521484375,306.80389404296875,306.80389404296875,STANDARD,31
25,2018-01-01,19,0,21,0.0,R_A5,1.0,1715.860595703125,306.76617431640625,306.76617431640625,STANDARD,31
26,2018-01-01,20,0,21,0.0,R_A5,1.0,1718.067626953125,307.2811279296875,307.2811279296875,STANDARD,31
27,2018-01-01,21,0,21,0.0,R_A5,1.0,1720.2745361328125,307.49029541015625,307.49029541015625,STANDARD,31
28,2018-01-01,22,0,21,0.0,R_A5,1.0,1722.4815673828125,307.699462890625,307.699462890625,STANDARD,31
29,2018-01-01,23,0,21,0.0,R_A5,1.0,1724.6884765625,307.90863037109375,307.90863037109375,STANDARD,31
1,2018-01-01,1,0,42,0.0,R_A6,1.0,1694.12109375,305.01171875,305.01171875,STANDARD,17
2,2018-01-01,2,0,42,0.0,R_A6,1.0,1695.653564453125,305.15692138671875,305.15692138671875,STANDARD,17
3,2018-01-01,3,0,42,0.0,R_A6,1.0,1697.1859130859375,305.3021545410156,305.3021545410156,STANDARD,17
4,2018-01-01,4,0,42,0.0,R_A6,1.0,1698.7183837890625,305.4473876953125,305.4473876953125,STANDARD,17
5,2018-01-01,5,0,42,0.0,R_A6,1.0,1700.2508544921875,305.5926208496094,305.5926208496094,STANDARD,17
6,2018-01-01,6,0,42,0.0,R_A6,1.0,1701.783203125,305.7378234863281,305.7378234863281,STANDARD,17
7,2018-01-01,7,0,42,0.0,R_A6,1.0,1703.315673828125,305.5840148925781,305.5840148925781,STANDARD,17
8,2018-01-01,8,0,42,0.0,R_A6,1.0,1704.84814453125,305.729248046875,305.729248046875,STANDARD,17
9,2018-01-01,9,0,42,0.0,R_A6,1.0,1706.3804931640625,306.17352294921875,306.17352294921875,STANDARD,17
10,2018-01-01,10,0,42,0.0,R_A6,1.0,1707.9129638671875,306.0129699707031,306.0129699707031,STANDARD,17
11,2018-01-01,11,0,42,0.0,R_A6,1.0,1709.8055419921875,306.19244384765625,306.19244384765625,STANDARD,17
12,2018-01-01,12,0,42,0.0,R_A6,1.0,1712.0582275390625,306.40594482421875,306.40594482421875,STANDARD,17
13,2018-01-01,13,0,42,0.0,R_A6,1.0,1714.3109130859375,306.63140869140625,306.63140869140625,STANDARD,17
14,2018-01-01,14,0,42,0.0,R_A6,1.0,1716.5635986328125,306.8448791503906,306.8448791503906,STANDARD,17
15,2018-01-01,15,0,42,0.0,R_A6,1.0,1718.8162841796875,307.0583801269531,307.0583801269531,STANDARD,17
16,2018-01-01,16,0,42,0.0,R_A6,1.0,1721.0689697265625,307.4169006347656,307.4169006347656,STANDARD,17
17,2018-01-01,17,0,42,0.0,R_A6,1.0,1723.3216552734375,307.6304016113281,307.6304016113281,STANDARD,17
18,2018-01-01,18,0,42,0.0,R_A6,1.0,1724.9537353515625,307.78509521484375,307.78509521484375,STANDARD,17
25,2018-01-01,19,0,42,0.0,R_A6,1.0,1726.312255859375,307.7567443847656,307.7567443847656,STANDARD,17
26,2018-01-01,20,0,42,0.0,R_A6,1.0,1728.0179443359375,308.2242126464844,308.2242126464844,STANDARD,17
27,2018-01-01,21,0,42,0.0,R_A6,1.0,1729.7236328125,308.3858642578125,308.3858642578125,STANDARD,17
28,2018-01-01,22,0,42,0.0,R_A6,1.0,1731.42919921875,308.5475158691406,308.5475158691406,STANDARD,17
29,2018-01-01,23,0,42,0.0,R_A6,1.0,1733.134765625,308.40338134765625,308.40338134765625,STANDARD,17
1,2018-03-01,1,0,30,0.0,R_A2,0.05346622318029404,1641.5928955078125,298.91436767578125,298.91436767578125,STANDARD,22
2,2018-03-01,2,0,30,0.0,R_A2,0.05516543984413147,1643.3372802734375,299.0313415527344,299.0313415527344,STANDARD,22
3,2018-03-01,3,0,30,0.0,R_A2,0.05796822905540466,1645.08154296875,299.1483459472656,299.1483459472656,STANDARD,22
