CONKPOS,DATE,CONIDX,DRAWDOWN,CONJPOS,SGAS,WELL,SWAT,DEPTH,PRESSURE,CONBPRES,WELLMODEL,CONIPOS
4,2018-03-01,4,0,30,0.0,R_A2,0.06397879868745804,1646.8258056640625,299.26531982421875,299.26531982421875,STANDARD,22
5,2018-03-01,5,0,30,0.0,R_A2,0.06714290380477905,1648.5701904296875,299.3822937011719,299.3822937011719,STANDARD,22
6,2018-03-01,6,0,30,0.0,R_A2,0.3077722489833832,1650.314453125,299.5379333496094,299.5379333496094,STANDARD,22
7,2018-03-01,7,0,30,0.0,R_A2,0.8704060316085815,1652.0587158203125,299.7406311035156,299.7406311035156,STANDARD,22
8,2018-03-01,8,0,30,0.0,R_A2,0.6484218835830688,1653.802978515625,299.90252685546875,299.90252685546875,STANDARD,22
9,2018-03-01,9,0,30,0.0,R_A2,0.24857820570468903,1655.54736328125,300.0451965332031,300.0451965332031,STANDARD,22
10,2018-03-01,10,0,30,0.0,R_A2,0.6484314203262329,1657.2916259765625,300.160888671875,300.160888671875,STANDARD,22
11,2018-03-01,11,0,30,0.0,R_A2,0.06814183294773102,1659.1781005859375,300.1646423339844,300.1646423339844,STANDARD,22
12,2018-03-01,12,0,30,0.0,R_A2,0.07333340495824814,1661.2069091796875,300.3160705566406,300.3160705566406,STANDARD,22
13,2018-03-01,13,0,30,0.0,R_A2,0.42663660645484924,1663.2357177734375,300.4766845703125,300.4766845703125,STANDARD,22
14,2018-03-01,14,0,30,0.0,R_A2,0.4733369052410126,1665.2645263671875,300.61358642578125,300.61358642578125,STANDARD,22
15,2018-03-01,15,0,30,0.0,R_A2,0.9039122462272644,1667.2933349609375,300.75433349609375,300.75433349609375,STANDARD,22
16,2018-03-01,16,0,30,0.0,R_A2,0.9301069378852844,1669.3221435546875,300.89599609375,300.89599609375,STANDARD,22
16,2018-03-01,17,0,29,0.0,R_A2,0.916610598564148,1671.6444091796875,301.0411376953125,301.0411376953125,STANDARD,22
17,2018-03-01,18,0,29,0.0,R_A2,0.8968343138694763,1673.713134765625,301.1836853027344,301.1836853027344,STANDARD,22
18,2018-03-01,19,0,29,0.0,R_A2,0.9699183106422424,1675.642822265625,301.3131103515625,301.3131103515625,STANDARD,22
25,2018-03-01,20,0,29,0.0,R_A2,0.6490304470062256,1677.4742431640625,302.0401916503906,302.0401916503906,STANDARD,22
26,2018-03-01,21,0,29,-6.056214422100678e-15,R_A2,1.0,1679.24267578125,303.25103759765625,303.25103759765625,STANDARD,22
27,2018-03-01,22,0,29,-2.900027697909195e-14,R_A2,1.0,1681.0111083984375,303.2823791503906,303.2823791503906,STANDARD,22
28,2018-03-01,23,0,29,-7.728446788785037e-13,R_A2,1.0,1682.779541015625,303.4678955078125,303.4678955078125,STANDARD,22
29,2018-03-01,24,0,29,-1.2444032471137234e-09,R_A2,1.0,1684.548095703125,303.002685546875,303.002685546875,STANDARD,22
1,2018-04-28,1,0,20,-5.153995563667024e-10,R_A5,1.0,1685.661376953125,286.2669372558594,286.2669372558594,STANDARD,31
2,2018-04-28,2,0,20,-5.050427853703354e-10,R_A5,1.0,1687.783203125,286.4677734375,286.4677734375,STANDARD,31
3,2018-04-28,3,0,20,-4.4011960742551537e-10,R_A5,1.0,1689.9051513671875,286.6684875488281,286.6684875488281,STANDARD,31
4,2018-04-28,4,0,20,-4.192995950447198e-10,R_A5,1.0,1692.027099609375,286.8691711425781,286.8691711425781,STANDARD,31
5,2018-04-28,5,0,20,-3.940562320892127e-10,R_A5,1.0,1694.149169921875,287.06976318359375,287.06976318359375,STANDARD,31
6,2018-04-28,6,0,20,-3.6102221212530594e-10,R_A5,1.0,1696.2711181640625,287.2704162597656,287.2704162597656,STANDARD,31
7,2018-04-28,7,0,20,-8.68943979270842e-12,R_A5,1.0,1698.39306640625,287.77716064453125,287.77716064453125,STANDARD,31
8,2018-04-28,8,0,20,-2.7910657725976895e-12,R_A5,1.0,1700.5150146484375,287.99212646484375,287.99212646484375,STANDARD,31
9,2018-04-28,9,0,21,-1.3231255500956163e-11,R_A5,1.0,1696.234619140625,287.4266052246094,287.4266052246094,STANDARD,31
11,2018-04-28,10,0,21,-3.673091691913655e-11,R_A5,1.0,1700.7247314453125,278.8085021972656,278.8085021972656,STANDARD,31
12,2018-04-28,11,0,21,-4.503985032155988e-11,R_A5,1.0,1702.721923828125,278.9880065917969,278.9880065917969,STANDARD,31
13,2018-04-28,12,0,21,-2.599658335822319e-12,R_A5,1.0,1704.7191162109375,279.1891784667969,279.1891784667969,STANDARD,31
14,2018-04-28,13,0,21,-2.3587945832681534e-12,R_A5,1.0,1706.71630859375,279.3785095214844,279.3785095214844,STANDARD,31
15,2018-04-28,14,0,21,-8.260536894268145e-13,R_A5,1.0,1708.7135009765625,279.56829833984375,279.56829833984375,STANDARD,31
16,2018-04-28,15,0,21,-1.413919843836972e-13,R_A5,1.0,1710.710693359375,279.9055480957031,279.9055480957031,STANDARD,31
17,2018-04-28,16,0,21,-2.0222052385474726e-13,R_A5,1.0,1712.7080078125,280.0972900390625,280.0972900390625,STANDARD,31
18,2018-04-28,17,0,21,-1.335680426938629e-13,R_A5,1.0,1714.07568359375,280.2267761230469,280.2267761230469,STANDARD,31
19,2018-04-28,18,0,21,0.0,R_A5,1.0,1714.6009521484375,280.276611328125,280.276611328125,STANDARD,31
25,2018-04-28,19,0,21,-1.6222018520140047e-11,R_A5,1.0,1715.860595703125,283.3210754394531,283.3210754394531,STANDARD,31
26,2018-04-28,20,0,21,-1.462998992785014e-11,R_A5,1.0,1718.067626953125,283.8675537109375,283.8675537109375,STANDARD,31
27,2018-04-28,21,0,21,-6.85094506265087e-19,R_A5,1.0,1720.2745361328125,294.9696044921875,294.9696044921875,STANDARD,31
28,2018-04-28,22,0,21,-6.643232902255416e-20,R_A5,1.0,1722.4815673828125,303.2706604003906,303.2706604003906,STANDARD,31
29,2018-04-28,23,0,21,-1.7904938281821163e-21,R_A5,1.0,1724.6884765625,306.66815185546875,306.66815185546875,STANDARD,31
1,2018-07-03,1,0,41,0.0,R_A3,0.325833797454834,1609.5869140625,276.0952453613281,276.0952453613281,STANDARD,28
2,2018-07-03,2,0,41,0.0,R_A3,0.19405707716941833,1611.57861328125,276.2047424316406,276.2047424316406,STANDARD,28
3,2018-07-03,3,0,41,0.0,R_A3,0.11874360591173172,1613.5704345703125,276.3373718261719,276.3373718261719,STANDARD,28
3,2018-07-03,4,0,41,0.0,R_A3,0.1648939698934555,1603.7862548828125,275.6832580566406,275.6832580566406,STANDARD,29
4,2018-07-03,5,0,41,0.0,R_A3,0.1335829794406891,1605.862060546875,275.8215026855469,275.8215026855469,STANDARD,29
5,2018-07-03,6,0,41,0.0,R_A3,0.8024297952651978,1607.937744140625,276.05230712890625,276.05230712890625,STANDARD,29
6,2018-07-03,7,0,41,0.0,R_A3,0.6496178507804871,1610.0135498046875,276.1565246582031,276.1565246582031,STANDARD,29
7,2018-07-03,8,0,41,0.0,R_A3,0.19748617708683014,1612.08935546875,276.30950927734375,276.30950927734375,STANDARD,29
8,2018-07-03,9,0,41,0.0,R_A3,0.1964987963438034,1614.1650390625,276.4478759765625,276.4478759765625,STANDARD,29
9,2018-07-03,10,0,41,0.0,R_A3,0.7917668223381042,1616.2408447265625,276.6809997558594,276.6809997558594,STANDARD,29
10,2018-07-03,11,0,41,0.0,R_A3,0.7948312163352966,1618.316650390625,278.1733703613281,278.1733703613281,STANDARD,29
11,2018-07-03,12,0,41,0.0,R_A3,0.04431939497590065,1620.4659423828125,297.0955505371094,297.0955505371094,STANDARD,29
12,2018-07-03,13,0,41,0.0,R_A3,0.05220765992999077,1622.6888427734375,297.2444763183594,297.2444763183594,STANDARD,29
13,2018-07-03,14,0,41,0.0,R_A3,0.3582782447338104,1624.9117431640625,297.3935241699219,297.3935241699219,STANDARD,29
14,2018-07-03,15,0,41,0.0,R_A3,0.18530257046222687,1627.1346435546875,297.5960998535156,297.5960998535156,STANDARD,29
15,2018-07-03,16,0,41,0.0,R_A3,0.5054457783699036,1629.3575439453125,297.9476623535156,297.9476623535156,STANDARD,29
16,2018-07-03,17,0,41,0.0,R_A3,0.7997055053710938,1631.3599853515625,298.0839538574219,298.0839538574219,STANDARD,29
25,2018-07-03,18,0,41,0.0,R_A3,0.34800127148628235,1634.177734375,284.9674987792969,284.9674987792969,STANDARD,29
26,2018-07-03,19,0,41,0.0,R_A3,0.0413728766143322,1637.7664794921875,285.17816162109375,285.17816162109375,STANDARD,29
27,2018-07-03,20,0,41,0.0,R_A3,0.04580067843198776,1641.3551025390625,285.4178771972656,285.4178771972656,STANDARD,29
28,2018-07-03,21,0,41,0.0,R_A3,0.22900693118572235,1644.94384765625,285.65728759765625,285.65728759765625,STANDARD,29
29,2018-07-03,22,0,41,0.0,R_A3,0.05962102860212326,1648.532470703125,285.8943786621094,285.8943786621094,STANDARD,29
1,2018-09-12,1,0,52,0.0,R_A4,0.04827023670077324,1631.862548828125,281.5561218261719,281.5561218261719,STANDARD,30
1,2018-09-12,2,0,52,0.0,R_A4,0.20126251876354218,1626.741455078125,281.3031921386719,281.3031921386719,STANDARD,31
2,2018-09-12,3,0,52,0.0,R_A4,0.22970744967460632,1628.813232421875,281.4412841796875,281.4412841796875,STANDARD,31
3,2018-09-12,4,0,52,0.0,R_A4,0.13226161897182465,1630.8851318359375,281.57928466796875,281.57928466796875,STANDARD,31
4,2018-09-12,5,0,52,0.0,R_A4,0.053594157099723816,1632.95703125,281.7174377441406,281.7174377441406,STANDARD,31
4,2018-09-12,6,0,52,0.0,R_A4,0.05430876836180687,1631.706787109375,281.6914978027344,281.6914978027344,STANDARD,32
5,2018-09-12,7,0,52,0.0,R_A4,0.05611765757203102,1633.5867919921875,281.8170166015625,281.8170166015625,STANDARD,32
5,2018-09-12,8,0,51,0.0,R_A4,0.20629554986953735,1637.2178955078125,281.9670104980469,281.9670104980469,STANDARD,32
4,2018-09-12,9,0,51,0.0,R_A4,0.055837467312812805,1635.3709716796875,281.84356689453125,281.84356689453125,STANDARD,32
4,2018-09-12,10,0,51,0.0,R_A4,0.056052371859550476,1636.188232421875,281.9485168457031,281.9485168457031,STANDARD,33
5,2018-09-12,11,0,51,0.0,R_A4,0.09879225492477417,1638.0623779296875,282.0736083984375,282.0736083984375,STANDARD,33
5,2018-09-12,12,0,50,0.0,R_A4,0.06167538836598396,1643.686767578125,282.38336181640625,282.38336181640625,STANDARD,33
5,2018-09-12,13,0,50,0.0,R_A4,0.058984626084566116,1641.97021484375,282.31146240234375,282.31146240234375,STANDARD,34
4,2018-09-12,14,0,50,0.0,R_A4,0.06011812388896942,1640.0849609375,282.1856384277344,282.1856384277344,STANDARD,34
4,2018-09-12,15,0,50,0.0,R_A4,0.05876800790429115,1640.1138916015625,282.1897888183594,282.1897888183594,STANDARD,35
3,2018-09-12,16,0,50,0.0,R_A4,0.22288981080055237,1638.2786865234375,282.0675964355469,282.0675964355469,STANDARD,35
3,2018-09-12,17,0,49,0.0,R_A4,0.2313089221715927,1642.8359375,282.3211669921875,282.3211669921875,STANDARD,35
28,2018-09-12,18,0,49,0.0,R_A4,0.6567163467407227,1643.055908203125,277.698486328125,277.698486328125,STANDARD,36
28,2018-09-12,19,0,48,0.0,R_A4,0.12659834325313568,1643.053466796875,277.2863464355469,277.2863464355469,STANDARD,36
28,2018-09-12,20,0,48,1.0234686362298184e-12,R_A4,1.0,1648.143310546875,284.1258239746094,284.1258239746094,STANDARD,37
28,2018-09-12,21,0,48,0.0,R_A4,0.6504945158958435,1652.50390625,279.0704040527344,279.0704040527344,STANDARD,38
28,2018-09-12,22,0,47,0.0,R_A4,0.8347002267837524,1660.609130859375,280.773681640625,280.773681640625,STANDARD,38
1,2018-11-07,1,0,42,3.2709325699376013e-12,R_A6,1.0,1694.12109375,275.46844482421875,275.46844482421875,STANDARD,17
2,2018-11-07,2,0,42,2.0438091323515817e-12,R_A6,1.0,1695.653564453125,275.611572265625,275.611572265625,STANDARD,17
3,2018-11-07,3,0,42,1.3767250143723042e-12,R_A6,1.0,1697.1859130859375,275.7516174316406,275.7516174316406,STANDARD,17
4,2018-11-07,4,0,42,1.0093844163283627e-12,R_A6,1.0,1698.7183837890625,275.8868408203125,275.8868408203125,STANDARD,17
5,2018-11-07,5,0,42,1.691773782695749e-12,R_A6,1.0,1700.2508544921875,276.0194396972656,276.0194396972656,STANDARD,17
6,2018-11-07,6,0,42,8.033093634729482e-11,R_A6,1.0,1701.783203125,276.15643310546875,276.15643310546875,STANDARD,17
7,2018-11-07,7,0,42,1.3908470208878754e-10,R_A6,1.0,1703.315673828125,276.00140380859375,276.00140380859375,STANDARD,17
8,2018-11-07,8,0,42,9.859111443910606e-11,R_A6,1.0,1704.84814453125,276.1468811035156,276.1468811035156,STANDARD,17
9,2018-11-07,9,0,42,5.633534003873786e-12,R_A6,1.0,1706.3804931640625,276.5952453613281,276.5952453613281,STANDARD,17
10,2018-11-07,10,0,42,6.6905708404063624e-12,R_A6,1.0,1707.9129638671875,276.4435729980469,276.4435729980469,STANDARD,17
11,2018-11-07,11,0,42,1.0400922345610297e-09,R_A6,1.0,1709.8055419921875,282.5980529785156,282.5980529785156,STANDARD,17
12,2018-11-07,12,0,42,4.708632372896204e-10,R_A6,1.0,1712.0582275390625,282.78326416015625,282.78326416015625,STANDARD,17
13,2018-11-07,13,0,42,2.8997535275743225e-11,R_A6,1.0,1714.3109130859375,283.0159606933594,283.0159606933594,STANDARD,17
14,2018-11-07,14,0,42,2.753624411822031e-11,R_A6,1.0,1716.5635986328125,283.229248046875,283.229248046875,STANDARD,17
15,2018-11-07,15,0,42,1.9427404129856995e-11,R_A6,1.0,1718.8162841796875,283.44268798828125,283.44268798828125,STANDARD,17
16,2018-11-07,16,0,42,4.743819920216552e-12,R_A6,1.0,1721.0689697265625,283.8016052246094,283.8016052246094,STANDARD,17
17,2018-11-07,17,0,42,1.0513877095330582e-11,R_A6,1.0,1723.3216552734375,284.0153503417969,284.0153503417969,STANDARD,17
18,2018-11-07,18,0,42,1.0040397332988782e-11,R_A6,1.0,1724.9537353515625,284.1700439453125,284.1700439453125,STANDARD,17
25,2018-11-07,19,0,42,-1.163607513295084e-13,R_A6,1.0,1726.312255859375,284.6076965332031,284.6076965332031,STANDARD,17
26,2018-11-07,20,0,42,-3.8217970726051737e-14,R_A6,1.0,1728.0179443359375,285.0835266113281,285.0835266113281,STANDARD,17
27,2018-11-07,21,0,42,3.6031842079967835e-20,R_A6,1.0,1729.7236328125,285.6944274902344,285.6944274902344,STANDARD,17
28,2018-11-07,22,0,42,1.985323781448051e-20,R_A6,1.0,1731.42919921875,286.1155700683594,286.1155700683594,STANDARD,17
29,2018-11-07,23,0,42,1.966391645732068e-15,R_A6,1.0,1733.134765625,285.2396545410156,285.2396545410156,STANDARD,17
